"merge_sort",2,3,"CPU"
"merge_sort",4,3,"CPU"
"merge_sort",8,3,"CPU"
"merge_sort",16,3,"CPU"
"merge_sort",32,3,"CPU"
"merge_sort",64,3,"CPU"
"merge_sort",128,3,"CPU"
"merge_sort",256,3,"CPU"
"merge_sort",512,3,"CPU"
"merge_sort",1024,3,"CPU"
"merge_sort",2048,3,"CPU"
"merge_sort",4096,3,"CPU"
"merge_sort",2,3,"GPU"
"merge_sort",4,3,"GPU"
"merge_sort",8,3,"GPU"
"merge_sort",16,3,"GPU"
"merge_sort",32,3,"GPU"
"merge_sort",64,3,"GPU"
"merge_sort",128,3,"GPU"
"merge_sort",256,3,"GPU"
"merge_sort",512,3,"GPU"
"merge_sort",1024,3,"GPU"
"merge_sort",2048,3,"GPU"
"merge_sort",4096,3,"GPU"
